Seed,Games
7,2
3,2
8,2
3,2
2,2
9,2
4,2
14,2
2,2
7,2
9,2
13,2
5,2
12,3
2,3
1,3
6,3
5,3
10,3
6,3
1,3
3,4
7,4
6,4
2,4
5,5
4,5
1,6
1,7
15,1
13,1
12,1
10,1
14,1
13,1
6,1
5,1
16,1
13,1
9,1
5,1
15,1
14,1
11,1
7,1
16,1
14,1
9,1
6,1
16,1
15,1
10,1
9,1
15,1
11,1
7,1
3,1
16,1
12,1
8,1
4,1
4,2
2,2
11,2
12,2
8,2
12,2
10,2
6,2
8,2
3,2
8,2
2,2
10,2
14,2
9,2
5,2
6,3
1,3
13,3
3,3
5,3
7,3
4,3
7,3
2,4
1,4
1,4
1,4
4,5
11,5
2,6
3,7
16,1
15,1
14,1
11,1
10,1
8,1
13,1
12,1
16,1
14,1
11,1
8,1
15,1
14,1
10,1
6,1
13,1
12,1
16,1
15,1
14,1
10,1
8,1
6,1
15,1
13,1
12,1
10,1
16,1
13,1
12,1
9,1
9,2
7,2
3,2
4,2
9,2
6,2
7,2
11,2
4,2
9,2
11,2
2,2
7,2
4,2
8,2
5,2
5,3
3,3
4,3
3,3
5,3
6,3
5,3
7,3
2,4
1,4
1,4
3,4
2,5
2,5
1,6
1,7
13,1
12,1
16,1
14,1
9,1
6,1
14,1
13,1
12,1
11,1
16,1
15,1
14,1
11,1
10,1
8,1
16,1
15,1
14,1
11,1
10,1
8,1
15,1
7,1
5,1
4,1
16,1
15,1
10,1
9,1
5,1
4,1
5,2
8,2
11,2
6,2
4,2
9,2
6,2
2,2
9,2
7,2
6,2
2,2
13,2
8,2
7,2
13,2
4,3
2,3
12,3
7,3
12,3
3,3
5,3
3,3
3,4
3,4
10,4
2,4
1,5
1,5
1,6
1,7
15,1
14,1
11,1
10,1
16,1
15,1
13,1
9,1
7,1
5,1
16,1
15,1
13,1
12,1
8,1
7,1
16,1
13,1
9,1
5,1
16,1
15,1
14,1
8,1
7,1
6,1
5,1
4,1
14,1
11,1
14,1
11,1
7,2
6,2
8,2
10,2
12,2
9,2
10,2
4,2
8,2
12,2
9,2
10,2
11,2
13,2
6,2
6,2
4,3
2,3
5,3
2,3
12,3
3,3
4,3
3,3
1,4
3,4
1,4
2,4
3,5
1,5
2,6
1,7
16,1
14,1
8,1
6,1
16,1
11,1
8,1
3,1
15,1
14,1
7,1
6,1
15,1
12,1
10,1
4,1
15,1
13,1
7,1
5,1
15,1
13,1
12,1
7,1
16,1
13,1
12,1
9,1
16,1
14,1
11,1
9,1
9,2
3,2
14,2
1,2
11,2
